numero,bloque,tema,pregunta,respuesta
22,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿Qué porcentaje de la población española está en riesgo de pobreza o exclusión social?,
23,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿La desigualdad dentro de Barcelona es mayor que entre Barcelona y otras ciudades?,
24,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿Ha aumentado la pobreza energética en España en los últimos años?,
25,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿España es uno de los países más desiguales de la Unión Europea?,
26,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿La pandemia de COVID-19 aumentó la desigualdad económica en las ciudades españolas?,
27,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿Cuál es la diferencia de renta media entre el barrio más rico y el más pobre de Barcelona?,
28,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿Existe algún indicador que mida la movilidad social entre generaciones en las ciudades españolas?,
29,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿Cómo afecta la concentración de riqueza en pocas manos a la salud económica de una ciudad?,
30,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿La desigualdad económica frena o impulsa el crecimiento de las ciudades a largo plazo?,
31,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Cuál es la tasa de temporalidad laboral en España comparada con la media europea?,
32,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿El desempleo juvenil en España sigue siendo estructuralmente elevado respecto a Europa?,
33,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Las ciudades con mayor actividad económica generan automáticamente más bienestar para sus habitantes?,
34,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Existe correlación entre la llegada masiva de turismo y el deterioro de las condiciones laborales locales?,
35,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Por qué jóvenes con estudios universitarios abandonan Barcelona o Madrid para vivir en otras ciudades?,
36,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Cuántos trabajadores en España son pobres a pesar de tener empleo (working poor)?,
37,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿La reforma laboral de 2021 ha conseguido reducir realmente la precariedad laboral?,
38,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Cuál es la tasa de desempleo estructural en España y por qué persiste?,
39,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿Existe diferencia significativa en la calidad del empleo entre ciudades grandes y ciudades medianas?,
40,Bloque 4 – Mercado Laboral y Calidad del Empleo,Empleo,¿El teletrabajo ha cambiado la distribución geográfica del empleo cualificado en España?,
41,Bloque 5 – Energía y Coste de Vida,Energía,¿Cómo afecta el precio de la energía al coste de vida en las ciudades españolas?,
42,Bloque 5 – Energía y Coste de Vida,Energía,¿La volatilidad del precio eléctrico afecta de forma diferente a hogares ricos y pobres?,
43,Bloque 5 – Energía y Coste de Vida,Energía,¿Cuánto representa el coste del transporte en el presupuesto de un hogar de renta media?,
44,Bloque 5 – Energía y Coste de Vida,Energía,¿Las ciudades mejor conectadas tienen mayor actividad económica y mejores condiciones laborales?,
45,Bloque 5 – Energía y Coste de Vida,Energía,¿El IPC recoge de forma fiel la experiencia de subida de precios que percibe el ciudadano?,
46,Bloque 5 – Energía y Coste de Vida,Energía,¿Cuál ha sido la evolución del precio de la cesta de la compra básica en España en los últimos 3 años?,
47,Bloque 5 – Energía y Coste de Vida,Energía,¿La transición energética está teniendo un impacto negativo en el coste de vida a corto plazo?,
48,Bloque 5 – Energía y Coste de Vida,Energía,¿Existe alguna herramienta que permita comparar el coste real de vida entre ciudades españolas?,
49,Bloque 5 – Energía y Coste de Vida,Energía,¿El precio del transporte público en Barcelona es competitivo respecto a otras ciudades europeas?,
50,Bloque 5 – Energía y Coste de Vida,Energía,¿Cuánto peso tiene la energía en el IPC y cómo distorsiona la lectura de la inflación general?,
51,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Por qué un ciudadano no puede saber hoy si su ciudad está mejorando o empeorando económicamente?,
52,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Cuántos organismos públicos distintos publican datos económicos sobre Barcelona y están coordinados entre sí?,
53,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Es posible comparar la situación económica de Barcelona con Madrid usando solo datos públicos oficiales?,
54,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Qué ocurre cuando un político periodista o inversor necesita entender la salud económica de una ciudad en menos de 5 minutos?,
55,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Qué pasaría si existiera un índice público actualizado de salud económica urbana para cada ciudad española?,
56,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Con qué frecuencia se actualizan los principales indicadores económicos oficiales en España?,
57,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Existe algún ranking público que compare la calidad de vida entre ciudades españolas con datos oficiales?,
58,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Qué información económica urbana está disponible en abierto y qué sigue siendo opaca o inaccesible?,
59,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Podría un sistema automatizado detectar señales de deterioro económico antes de que aparezcan en las estadísticas oficiales?,
60,Bloque 6 – Datos y Necesidad de ISEU+,Datos,¿Qué tipo de decisiones mejorarían si los ciudadanos tuvieran acceso a un índice de salud económica urbana actualizado?,
